"","genes","logFC","logCPM","F","PValue","FDR"
"18661","Scd1",7.36183118012912,10.9387392980693,142.239908593113,3.01428204960525e-07,0.0036888783723069
"25307","Msmo1",-3.42015098321318,6.28560190949642,117.332891150172,7.42385301624037e-07,0.00396744087755131
"3175","Idi1",-3.74866345652578,4.65921287067541,110.701050685866,9.72570896605157e-07,0.00396744087755131
"5710","Apoa4",3.36998845708984,9.77005386522045,91.6774600213033,2.31400868569835e-06,0.00707970957389412
"944","Sqle",-3.35853010963953,4.56487920664772,83.2658337619722,3.58194796424316e-06,0.00876717583728156
"17454","Insig1",-2.51194223219128,7.01726377860958,79.0764760166976,4.52043350776828e-06,0.00895852936458563
"2690","Pcsk9",-2.80477483088001,3.45214331793936,76.8989328197759,5.12417924106058e-06,0.00895852936458563
"24184","Mvk",-2.04769183307614,3.90502468918208,72.5868529147967,6.63182342389129e-06,0.00949754875720214
"31595","Mid1ip1",-2.25753702194782,3.33074729144776,71.7467208394383,6.98463301314098e-06,0.00949754875720214
"4155","Derl3",-3.05807369357369,1.27728009612066,70.0539134995096,7.76642493655529e-06,0.00950455083735636
"29573","Hcn3",-2.62348553322352,1.57984716735412,67.418669268391,9.20349041376931e-06,0.0102393014257917
"17146","Ehhadh",2.69910191238381,10.4386256137326,57.7783739265793,1.80809116416601e-05,0.0180763456442381
"17020","Fitm2",1.10724592133417,6.11016752018672,56.2714534426291,2.02703327223113e-05,0.0180763456442381
"16081","Nsdhl",-1.89614951005652,3.63226003154754,54.9489020543152,2.24585779539482e-05,0.0180763456442381
"1230","Agpat6",1.10557422282899,7.82486661760901,53.4725576940254,2.5245416259953e-05,0.0180763456442381
"14085","Slc22a5",0.9820674910463,5.80521483710138,52.8634020754865,2.65151678471124e-05,0.0180763456442381
"17506","2010003K11Rik",1.62357525232635,4.60082303831362,52.7950078101264,2.66624662524409e-05,0.0180763456442381
"2331","Cyp51",-2.54663975995712,5.96251463844207,52.2352272499055,2.79056902919823e-05,0.0180763456442381
"17044","Plin2",1.30365338876273,9.16909801410041,52.165979173449,2.80642725315021e-05,0.0180763456442381
"30868","Acot2",2.04199887278018,4.05482305088037,51.4501581497287,2.9768583325151e-05,0.0182153961366599
"16210","Mvd",-3.10311154713265,3.25405723870844,50.0296476777485,3.35335993211467e-05,0.019542104213914
"789","Cyp4a31",2.1991385150814,6.25957006149757,46.8222981427593,4.4360932157312e-05,0.0246767767155084
"20090","Slc16a1",1.09246755407022,6.38782154862844,45.3691462276787,5.06266003105065e-05,0.0265115822124877
"27570","Crat",1.2268867333167,6.80071067107233,45.0810556112465,5.19919899574853e-05,0.0265115822124877
"34799","Elovl5",1.31228960333625,9.42002913029598,43.7078024255976,5.91412761489316e-05,0.0286749660583939
"10140","Limd2",-1.01468410918488,3.89426161410694,42.7087843293532,6.5091200202786e-05,0.0286749660583939
"20997","Hn1l",-1.14545123773259,4.31468134361702,42.6388424258818,6.55340581987295e-05,0.0286749660583939
"27219","Akap17b",-1.39322406366194,2.12068099173548,42.6273694263865,6.5607047690393e-05,0.0286749660583939
"29625","Mgll",1.1399470259088,8.22788010379211,41.7629237744877,7.13984030348013e-05,0.029370573518794
"32720","Psmb10",-0.964586408467635,4.67390291962315,41.6392589076935,7.22762050090383e-05,0.029370573518794
"8913","Fdps",-2.63564518977251,5.66321468369303,41.3475837106887,7.43984130644398e-05,0.029370573518794
"12070","Pcp4l1",-1.82187928924664,2.42141352423486,40.9981816990461,7.70399382353341e-05,0.0294629613788756
"30867","Acot3",3.04357019679463,4.47678920209067,39.9186098174275,8.59434642053647e-05,0.031266316165003
"29333","Stard4",-1.73711097976894,5.67867914504395,39.814579671709,8.68650718753147e-05,0.031266316165003
"10832","Aacs",-2.38995206536682,3.30427702681517,39.1372758192519,9.31641750458619e-05,0.0315475762106289
"11289","Thrsp",-2.26509254698199,5.24663060217979,39.064429553837,9.38738205703745e-05,0.0315475762106289
"32241","Acsl3",-1.19912512890146,3.79681767362029,38.9119856109396,9.53799901775837e-05,0.0315475762106289
"11040","Ugt1a9",1.47646271049258,3.64940108713635,38.4105258594335,0.000100543350398417,0.0323802505835745
"13851","Srebf1",-2.10558812290425,6.09128024380791,38.1222020128785,0.000103664048806184,0.0325292469048738
"7882","Fgf21",2.11163711776697,4.01802476412343,36.7341429955876,0.000120420067464125,0.0368425196406489
"15240","Cyp2c70",-1.79780349997961,6.24368012901811,36.3672427034523,0.000125380540824662,0.037424562405176
"25698","Acot1",2.2753943866197,7.79137714501669,36.1049246446669,0.000129077855206512,0.0376108283813641
"30351","Sdf2l1",-2.62636399802994,4.63893201500111,35.535054322372,0.000137571136723044,0.0391533853771305
"25329","Sult1b1",-0.973382147514421,4.94152301242424,35.0142129120342,0.000145926678486913,0.0405875157118828
"16549","Ppib",-0.811455694322284,5.28712557017087,33.6672290997752,0.000170528911911467,0.0463762849771675
"24706","Abhd2",1.66571097581529,7.63203746392069,33.4615296952636,0.000174710705628523,0.0464577560419778
"19253","Pxmp4",0.786928447924965,7.51547994971064,33.2839178095407,0.000178420864027861,0.0464577560419778
"3902","Pbx4",-2.85172004796697,-0.186307253508552,31.9392317841307,0.00020980484339979,0.0534914931984716
"30898","Chrna2",1.20850021815152,4.21675027430759,31.6431603932901,0.000217581278387678,0.0543420343858858
